Version=0.9
1,41,2,13,2=3753
1,41,2,33,1=50903
1,41,2,13,1=3124
1,41,2,0,1=617915
1,41,2,13,3=753930
0,41,2,13,2=5604243
0,41,2,33,1=142416
0,41,2,13,1=4952699
0,41,2,0,1=2015022
0,41,2,13,3=1840338
1,41,2,0,3=5392274
1,41,2,13,4=498993
1,41,2,0,2=3118
1,41,2,13,5=845319
0,41,2,0,3=8000609
0,41,2,13,4=1223991
0,41,2,0,2=5689609
0,41,2,13,5=1652574
1,41,2,13,6=3122
1,41,2,0,4=379196
0,41,2,0,4=7326168
0,41,2,13,6=1081459
1,41,2,13,7=392070
0,41,2,13,7=990719
1,41,2,1,14=4996
1,41,2,1,13=624
1,41,2,13,8=1249
1,41,2,13,12=1248
1,41,2,13,11=118056
1,41,2,13,9=229866
1,41,2,13,10=379776
1,41,2,11,98=48095
0,41,2,1,14=2188775
0,41,2,1,13=19988
0,41,2,13,8=80577
0,41,2,13,12=1629764
0,41,2,13,11=1649585
0,41,2,13,9=397268
0,41,2,13,10=1920006
1,41,2,13,15=3122
1,41,2,13,13=3747
1,41,2,13,14=716569
0,41,2,13,15=2287226
0,41,2,13,13=458564
0,41,2,13,14=1178150
1,41,2,0,5=1670561
1,41,2,0,6=4996
1,41,2,13,16=913001
1,41,2,13,17=616933
0,41,2,0,5=2277559
0,41,2,0,6=1869993
0,41,2,13,16=684199
0,41,2,13,17=1582043
1,41,2,0,7=32480
1,41,2,13,18=4996
0,41,2,0,7=1912018
0,41,2,13,18=1784845
1,41,2,11,102=10618
1,41,2,11,103=6871
1,41,2,13,19=661803
0,41,2,13,19=1066300
0,41,2,13,20=3298932
1,41,2,13,20=630936
1,41,2,1,1=35603
1,41,2,0,8=4372
1,41,2,13,21=4500
0,41,2,0,8=2783687
0,41,2,13,21=1429530
1,41,2,13,22=4377
1,41,2,0,9=1498053
1,41,2,13,24=3123
1,41,2,13,23=202379
0,41,2,13,22=3554243
0,41,2,0,9=5901748
0,41,2,13,24=1608471
0,41,2,13,23=374848
0,41,2,1,15=231111
1,41,2,1,15=71381
1,41,2,1,27=14369
0,41,2,1,27=1527698
0,41,2,1,28=274835
1,41,2,1,28=79030
0,41,2,1,29=787970
1,41,2,1,29=75163
0,41,2,1,30=19363
1,41,2,1,30=64328
1,41,2,13,25=3762
0,41,2,13,25=1301804
1,41,2,1,31=3126
0,41,2,1,31=101189
1,41,2,1,32=87434
0,41,2,1,32=330501
0,41,2,1,33=201837
1,41,2,1,33=71353
0,41,2,1,34=85579
1,41,2,1,34=3123
1,41,2,33,2=4996
0,41,2,33,2=151966
1,41,2,0,10=6878
0,41,2,0,10=879871
